"annotation_id","annotator","comment","created_at","id","lead_time","rating","sentiment","updated_at","Вопрос решен","Нравится качество выполнения заявки","Нравится качество работы сотрудников","Нравится скорость отработки заявок","Понравилось выполнение заявки"
30,"2","Очень радует работа УК. Оперативно! Спасибо!","2025-05-08T12:48:01.592273Z",3716702,22.801,5,"{""choices"":[""Нравится скорость отработки заявок"",""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-08T12:48:01.592273Z","","","","",""
31,"2","Все исправили ","2025-05-08T12:48:08.496622Z",3726842,5.778,5,"Вопрос решен","2025-05-08T12:48:08.496622Z","","","","",""
32,"2","спасибо за оперативную работу ","2025-05-08T12:48:16.592898Z",3745025,7.114,5,"{""choices"":[""Нравится скорость отработки заявок"",""Вопрос решен""]}","2025-05-08T12:48:16.592898Z","","","","",""
33,"2","Выполнили отлично , обработка заявки была слишком дорогой ","2025-05-08T12:49:11.214226Z",3749719,53.581,5,"{""choices"":[""Нравится качество выполнения заявки"",""Вопрос решен""]}","2025-05-08T12:49:11.214226Z","","","","",""
34,"2","спасибо большое! теперь не скрипят ","2025-05-08T12:49:53.107443Z",3751364,40.805,5,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-08T12:49:53.107443Z","","","","",""
35,"2","спасибо","2025-05-08T12:49:56.562779Z",3766183,2.242,5,"Вопрос решен","2025-05-08T12:49:56.564282Z","","","","",""
36,"2","Спасибо!","2025-05-08T12:49:59.379180Z",3770102,2.002,5,"Вопрос решен","2025-05-08T12:49:59.380181Z","","","","",""
37,"2","Норм","2025-05-08T12:50:09.030774Z",3773834,4.91,1,"ни к одному из перечисленных","2025-05-08T12:50:09.030774Z","","","","",""
39,"2","спасибо. все прошло очень хорошо","2025-05-08T12:51:17.788476Z",3791959,46.852,5,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-08T12:51:17.788476Z","","","","",""
38,"2","Спасибо, пришли все поменяли за 10 минут ","2025-05-08T12:51:14.076405Z",3797804,18.524,5,"{""choices"":[""Нравится скорость отработки заявок"",""Вопрос решен""]}","2025-05-08T12:51:14.076405Z","","","","",""
40,"2","Все очень оперативно ","2025-05-08T12:52:01.811782Z",3799741,10.362,5,"{""choices"":[""Нравится скорость отработки заявок"",""Вопрос решен""]}","2025-05-08T12:52:01.811782Z","","","","",""
41,"2","Огромное спасибо.","2025-05-08T12:52:08.520650Z",3802024,5.628,5,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-08T12:52:08.520650Z","","","","",""
42,"2","Все отлично! Спасибо.","2025-05-08T12:52:13.236982Z",3805876,3.605,5,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-08T12:52:13.237983Z","","","","",""
43,"2","Хороший мастер","2025-05-08T12:52:26.143876Z",3812092,11.086,5,"Нравится качество работы сотрудников","2025-05-08T12:52:26.143876Z","","","","",""
44,"2","Спасибо за оперативность! 
","2025-05-08T12:52:30.589469Z",3815412,3.347,5,"{""choices"":[""Нравится скорость отработки заявок"",""Вопрос решен""]}","2025-05-08T12:52:30.589469Z","","","","",""
45,"2","выполнена

","2025-05-08T12:52:34.100786Z",3820641,2.435,5,"Вопрос решен","2025-05-08T12:52:34.100786Z","","","","",""
46,"2","Все супер, Мастер 👍","2025-05-08T12:52:49.081443Z",3828569,10.238,5,"Нравится качество работы сотрудников","2025-05-08T12:52:49.081443Z","","","","",""
47,"2","Благодарю ребят.","2025-05-08T12:52:59.434844Z",3829748,6.678,5,"Нравится качество работы сотрудников","2025-05-08T12:52:59.434844Z","","","","",""
48,"2","Спасибо большое ","2025-05-08T12:53:04.312777Z",3831509,3.843,5,"Вопрос решен","2025-05-08T12:53:04.312777Z","","","","",""
49,"2","спасибо","2025-05-08T12:53:10.049571Z",3831883,3.539,5,"Вопрос решен","2025-05-08T12:53:10.049571Z","","","","",""
50,"2","Спасибо!","2025-05-08T12:53:13.332302Z",3832952,2.423,5,"Вопрос решен","2025-05-08T12:53:13.332302Z","","","","",""
51,"2","Проблема решена, ручки на окна поставили.
Спасибо за обратную связь!","2025-05-08T12:53:33.989670Z",3834081,12.535,5,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-08T12:53:33.989670Z","","","","",""
52,"2","Благодарю за проделанную работу! ","2025-05-08T12:53:40.686204Z",3835748,5.701,5,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-08T12:53:40.686204Z","","","","",""
53,"2","надеюсь и причину устранили, а то после первого дождя будет тоже самое..","2025-05-08T12:53:53.058201Z",3835874,11.094,5,"Вопрос решен","2025-05-08T12:53:53.058201Z","","","","",""
54,"2","Спасибо, всё чётко.","2025-05-08T12:53:58.252554Z",3839647,4.066,5,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-08T12:53:58.252554Z","","","","",""
55,"2","Благодарю ","2025-05-08T12:54:02.327898Z",3840353,2.086,5,"Вопрос решен","2025-05-08T12:54:02.327898Z","","","","",""
56,"2","Спасибо Сергей ! ))))","2025-05-08T12:54:07.259610Z",3841026,3.898,5,"{""choices"":[""Нравится качество работы сотрудников"",""Вопрос решен""]}","2025-05-08T12:54:07.259610Z","","","","",""
57,"2","Михаил отличный мастер своего дела. Сделал быстро, чисто, дал рекомендации)","2025-05-08T12:54:42.320331Z",3842440,33.394,5,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки"",""Нравится качество работы сотрудников"",""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-08T12:54:42.320331Z","","","","",""
58,"2","хоть что то сделали 👍👏","2025-05-08T12:54:51.206792Z",3842790,7.602,5,"Вопрос решен","2025-05-08T12:54:51.206792Z","","","","",""
59,"2","спасибо)","2025-05-08T12:54:53.852135Z",3843760,1.638,5,"Вопрос решен","2025-05-08T12:54:53.852135Z","","","","",""
60,"2","профессионально, быстро. очень приятный мастер","2025-05-08T12:55:18.261188Z",3844645,17.684,5,"{""choices"":[""Нравится качество выполнения заявки"",""Нравится качество работы сотрудников"",""Вопрос решен""]}","2025-05-08T12:55:18.261188Z","","","","",""
61,"2","спасибо! ","2025-05-08T12:55:20.567704Z",3846820,1.428,5,"Вопрос решен","2025-05-08T12:55:20.567704Z","","","","",""
62,"2","Спасибо, вопрос решили, всё стало нормально ","2025-05-08T12:55:42.790463Z",3846831,7.953,5,"Вопрос решен","2025-05-08T12:55:42.790463Z","","","","",""
63,"2","Татьяна Владимировна большое вам спасибо!!!! ","2025-05-08T12:55:44.831074Z",3848236,7.297,5,"{""choices"":[""Нравится качество работы сотрудников"",""Вопрос решен""]}","2025-05-08T12:55:44.831074Z","","","","",""
64,"2","спасибо! ","2025-05-08T12:55:48.029354Z",3850021,1.88,5,"Вопрос решен","2025-05-08T12:55:48.029354Z","","","","",""
65,"2","спасибо за  быстрый ответ! 


","2025-05-08T12:55:54.431032Z",3850118,5.41,1,"{""choices"":[""Нравится скорость отработки заявок"",""Вопрос решен""]}","2025-05-08T12:55:54.431032Z","","","","",""
66,"2","Огромное спасибо вам от всего подъезда!!!   )))))","2025-05-08T12:56:06.302244Z",3852179,10.742,5,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-08T12:56:06.302244Z","","","","",""
67,"2","спасибо!)","2025-05-08T12:56:08.987577Z",3852743,1.582,5,"Вопрос решен","2025-05-08T12:56:08.987577Z","","","","",""
68,"2","спасибо ","2025-05-08T12:56:28.829401Z",3852975,3.113,5,"Вопрос решен","2025-05-08T12:56:28.829401Z","","","","",""
69,"2","Все отлично ","2025-05-08T12:56:34.290053Z",3854073,4.529,5,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-08T12:56:34.290053Z","","","","",""
70,"2","свершилось","2025-05-08T12:56:40.414879Z",3856028,4.721,1,"Вопрос решен","2025-05-08T12:56:40.414879Z","","","","",""
71,"2","Спасибо мастеру ","2025-05-08T12:56:46.090185Z",3859764,3.44,5,"{""choices"":[""Нравится качество работы сотрудников"",""Вопрос решен""]}","2025-05-08T12:56:46.090185Z","","","","",""
72,"2","спасибо, Вам, среагировали оперативно/быстро, а так же всё время были на связи🤝","2025-05-08T12:57:11.953380Z",3859780,24.704,5,"{""choices"":[""Нравится скорость отработки заявок"",""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-08T12:57:11.953380Z","","","","",""
73,"2","Среагировали быстро, благодарю ","2025-05-08T12:57:17.269316Z",3860248,3.985,5,"{""choices"":[""Нравится скорость отработки заявок"",""Вопрос решен""]}","2025-05-08T12:57:17.269316Z","","","","",""
74,"2","Спасибо за оперативность!","2025-05-08T12:57:21.759348Z",3860900,3.661,5,"{""choices"":[""Нравится скорость отработки заявок"",""Вопрос решен""]}","2025-05-08T12:57:21.759348Z","","","","",""
75,"2","Отличный мастер!","2025-05-08T12:57:28.331893Z",3862448,3.338,5,"{""choices"":[""Нравится качество работы сотрудников"",""Вопрос решен""]}","2025-05-08T12:57:28.331893Z","","","","",""
76,"2","Спасибо! По крайней мере, по ночам пока шума не слышно.","2025-05-08T12:57:41.318939Z",3863351,12.025,5,"Вопрос решен","2025-05-08T12:57:41.318939Z","","","","",""
77,"2","Быстро ","2025-05-08T12:57:44.459067Z",3863609,2.156,5,"{""choices"":[""Нравится скорость отработки заявок"",""Вопрос решен""]}","2025-05-08T12:57:44.459067Z","","","","",""
78,"2","Спасибо за своевременное выполнение заявки...","2025-05-08T12:57:59.709214Z",3866829,24.339,5,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-08T12:58:10.062033Z","","","","",""
79,"2","все сделали быстро. спасибо ","2025-05-08T12:58:15.692283Z",3866867,4.427,5,"{""choices"":[""Нравится скорость отработки заявок"",""Вопрос решен""]}","2025-05-08T12:58:15.692283Z","","","","",""
80,"2","всё отлично 👍","2025-05-08T12:58:27.768835Z",3868883,10.136,5,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-08T12:58:27.768835Z","","","","",""
81,"2","Спасибо ","2025-05-08T12:58:37.680047Z",3871379,9.025,5,"Вопрос решен","2025-05-08T12:58:37.680047Z","","","","",""
82,"2","Большое спасибо Александру,за оперативность и профессионализм ","2025-05-08T12:58:54.557687Z",3872124,14.667,5,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество работы сотрудников"",""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-08T12:58:54.557687Z","","","","",""
83,"2","благодарю ","2025-05-08T12:58:59.215310Z",3872129,3.506,5,"Вопрос решен","2025-05-08T12:58:59.215310Z","","","","",""
84,"2","оперативно и качественно. спасибо ","2025-05-08T12:59:21.777557Z",3873692,21.742,5,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки"",""Нравится качество работы сотрудников"",""Вопрос решен""]}","2025-05-08T12:59:21.777557Z","","","","",""
85,"2","Спасибо!","2025-05-08T12:59:24.999934Z",3874941,1.587,5,"Вопрос решен","2025-05-08T12:59:24.999934Z","","","","",""
86,"2","благодарю, всего доброго!","2025-05-08T12:59:35.428898Z",3875262,9.65,5,"Вопрос решен","2025-05-08T12:59:35.428898Z","","","","",""
87,"2","спасибо","2025-05-08T12:59:39.440184Z",3876790,1.922,5,"Вопрос решен","2025-05-08T12:59:39.440184Z","","","","",""
88,"2","Спасибо ","2025-05-08T12:59:42.501662Z",3876998,2.084,5,"Вопрос решен","2025-05-08T12:59:42.501662Z","","","","",""
89,"2","Спасибо большое! ","2025-05-08T12:59:46.251729Z",3877186,2.809,5,"Вопрос решен","2025-05-08T12:59:46.251729Z","","","","",""
90,"2","Спасибо!","2025-05-08T12:59:49.070965Z",3877315,1.871,5,"Вопрос решен","2025-05-08T12:59:49.070965Z","","","","",""
91,"2","К мастеру вопросов нет.  ","2025-05-08T12:59:54.975531Z",3877334,3.577,3,"{""choices"":[""Нравится качество работы сотрудников"",""Вопрос решен""]}","2025-05-08T12:59:54.975531Z","","","","",""
92,"2","Мастер быстро решил проблему!Всё исправил,очень довольна!Спасибо!","2025-05-08T13:00:09.349878Z",3877901,12.993,5,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество работы сотрудников"",""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-08T13:00:09.349878Z","","","","",""
93,"2","вытяжка заработала - спасибо. отдельное спасибо мастеру, который сообщил, что нет причин, препятствующих подключению вытяжки к домовой вентиляции ","2025-05-08T13:00:44.701725Z",3878088,9.055,5,"{""choices"":[""Нравится качество работы сотрудников"",""Вопрос решен""]}","2025-05-08T13:00:44.701725Z","","","","",""
94,"2","спасибо большое! надолго ли🙄","2025-05-08T13:00:48.481773Z",3878555,2.875,5,"Вопрос решен","2025-05-08T13:00:48.481773Z","","","","",""
95,"2","Огромное спасибо! ","2025-05-08T13:00:51.027463Z",3878808,6.128,5,"Вопрос решен","2025-05-08T13:00:51.027463Z","","","","",""
96,"2","Всё очень четко организовано! Большое спасибо за работу!","2025-05-08T13:01:32.469586Z",3879856,20.49,5,"{""choices"":[""Нравится скорость отработки заявок"",""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-08T13:01:32.469586Z","","","","",""
97,"2","Спасибо Вам большое и за дверь и за номера квартир!","2025-05-08T13:01:44.526038Z",3880345,11.118,5,"Вопрос решен","2025-05-08T13:01:44.526038Z","","","","",""
98,"2","снимаю звезду за первую отписку без выполнения работ","2025-05-08T13:01:53.765001Z",3880717,8.255,3,"Вопрос решен","2025-05-08T13:01:53.765001Z","","","","",""
99,"2","В день создания заявки , рабочие оперативно пришли и весь ужас убрали , огромная благодарность ! ","2025-05-08T13:02:12.737107Z",3881004,17.83,5,"{""choices"":[""Нравится скорость отработки заявок"",""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-08T13:02:12.737107Z","","","","",""
100,"2","Спасибо!","2025-05-08T13:02:15.564097Z",3881432,1.397,5,"Вопрос решен","2025-05-08T13:02:15.564097Z","","","","",""
101,"2","Спасибо! Все заработало ","2025-05-08T13:02:19.986899Z",3881460,3.458,5,"Вопрос решен","2025-05-08T13:02:19.986899Z","","","","",""
102,"2","спасибо, решили мой вопрос на месте в офисе ","2025-05-08T13:02:30.199698Z",3881636,9.289,5,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-08T13:02:30.199698Z","","","","",""
103,"2","Спасибо больше Ольге Птушкине, за проделанную работу! ","2025-05-08T13:02:49.724190Z",3882840,18.232,5,"{""choices"":[""Нравится качество выполнения заявки"",""Нравится качество работы сотрудников"",""Вопрос решен""]}","2025-05-08T13:02:49.724190Z","","","","",""
104,"2","Спасибо ","2025-05-08T13:02:52.558454Z",3883049,1.919,5,"Вопрос решен","2025-05-08T13:02:52.558454Z","","","","",""
105,"2","всё сделали хорошо, починили вовремя. наверное, молодцы.","2025-05-08T13:03:14.936084Z",3883200,21.411,5,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки"",""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-08T13:03:14.936084Z","","","","",""
106,"2","Спасибо","2025-05-08T13:03:17.864941Z",3883457,1.878,5,"Вопрос решен","2025-05-08T13:03:17.864941Z","","","","",""
107,"2","Супер! Спасибо!","2025-05-08T13:03:20.698529Z",3883549,1.971,5,"Вопрос решен","2025-05-08T13:03:20.698529Z","","","","",""
108,"2","Отлично! Все выполнили как и обещали! ","2025-05-08T13:03:32.001618Z",3883658,10.302,5,"Вопрос решен","2025-05-08T13:03:32.001618Z","","","","",""
109,"2","Очень оперативно. Спасибо большое ","2025-05-08T13:03:40.363766Z",3883736,7.291,5,"{""choices"":[""Нравится скорость отработки заявок"",""Вопрос решен""]}","2025-05-08T13:03:40.363766Z","","","","",""
110,"2","Мастер Андрей помог подобрать оборудование (краны/переходники) для подключения, быстро и качественно произвел подключение стиральной машинки. Огромное ему спасибо.","2025-05-08T13:04:09.191543Z",3883745,26.096,5,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки"",""Нравится качество работы сотрудников"",""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-08T13:04:09.191543Z","","","","",""
111,"2","Спасибо","2025-05-08T13:04:11.775818Z",3883823,1.529,5,"Вопрос решен","2025-05-08T13:04:11.775818Z","","","","",""
112,"2","спасибо","2025-05-08T13:04:14.450244Z",3884514,1.501,5,"Вопрос решен","2025-05-08T13:04:14.450244Z","","","","",""
113,"2","Спасибо ","2025-05-08T13:04:17.127112Z",3884705,1.73,5,"Вопрос решен","2025-05-08T13:04:17.127112Z","","","","",""
114,"2","Умело подкрутили редукторы давления. Молодец!","2025-05-08T13:04:38.771561Z",3884964,19.09,5,"{""choices"":[""Нравится качество работы сотрудников"",""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-08T13:04:38.771561Z","","","","",""
115,"2","все хорошо,дверь практически бесшумно закрывается","2025-05-08T13:04:45.915908Z",3885089,6.074,5,"Вопрос решен","2025-05-08T13:04:45.915908Z","","","","",""
116,"2","Спасибо ","2025-05-08T13:04:48.419602Z",3885291,1.558,5,"Вопрос решен","2025-05-08T13:04:48.419602Z","","","","",""
117,"2","спасибо)","2025-05-08T13:04:52.766769Z",3885807,3.496,5,"Вопрос решен","2025-05-08T13:04:52.766769Z","","","","",""
118,"2","проблемы как таковой не было, я в процессе поиска страх компании и всего лишь. Спасибо сотрудникам","2025-05-08T13:05:30.333895Z",3886150,36.049,5,"{""choices"":[""Нравится качество работы сотрудников"",""Вопрос решен""]}","2025-05-08T13:05:30.333895Z","","","","",""
119,"2","быстро, чётко, без проблем. одно слово - мастер! ","2025-05-08T13:06:13.246854Z",3886231,24.506,5,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки"",""Нравится качество работы сотрудников"",""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-08T13:06:13.246854Z","","","","",""
120,"2","Работает. Спасибо!","2025-05-08T13:06:18.052715Z",3886721,3.773,5,"Вопрос решен","2025-05-08T13:06:18.052715Z","","","","",""
121,"2","сегодня ездил, все исправно работает, спасибо!","2025-05-08T13:06:28.852676Z",3886923,10.002,5,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-08T13:06:28.852676Z","","","","",""
122,"2","Спасибо большое, всё понятно.","2025-05-08T13:06:42.742842Z",3886937,12.846,5,"Вопрос решен","2025-05-08T13:06:42.742842Z","","","","",""
123,"2","Татьяна спасибо ❤️","2025-05-08T13:06:49.686700Z",3887002,5.887,5,"{""choices"":[""Нравится качество работы сотрудников"",""Вопрос решен""]}","2025-05-08T13:06:49.686700Z","","","","",""
124,"2","На вопрос ответили. Крепления нельзя повесить в колясочной","2025-05-08T13:07:10.019300Z",3887203,19.178,5,"Вопрос решен","2025-05-08T13:07:10.019300Z","","","","",""
125,"2","Большое спасибо!","2025-05-08T13:07:13.076648Z",3887228,1.917,5,"Вопрос решен","2025-05-08T13:07:13.076648Z","","","","",""
126,"2","Лучший ","2025-05-08T13:07:23.540017Z",3887353,8.406,5,"Понравилось выполнение заявки","2025-05-08T13:07:23.540017Z","","","","",""
127,"2","спасибо за оперативность ","2025-05-08T13:07:29.468828Z",3887358,4.721,5,"{""choices"":[""Нравится скорость отработки заявок"",""Вопрос решен""]}","2025-05-08T13:07:29.468828Z","","","","",""
128,"2","спасибо ","2025-05-08T13:07:32.102397Z",3887389,1.721,5,"Вопрос решен","2025-05-08T13:07:32.102397Z","","","","",""
129,"2","спасибо за то что быстро отреагировали","2025-05-08T13:07:36.190068Z",3887392,3.023,5,"{""choices"":[""Нравится скорость отработки заявок"",""Вопрос решен""]}","2025-05-08T13:07:36.190068Z","","","","",""
130,"2","Сервис на высоте, мастер - профессионал","2025-05-08T13:07:49.775421Z",3887422,11.38,5,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество работы сотрудников"",""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-08T13:07:49.775421Z","","","","",""
131,"2","спасибо","2025-05-08T13:07:53.131022Z",3887496,2.373,5,"Вопрос решен","2025-05-08T13:07:53.131022Z","","","","",""
132,"2","спасибо большое","2025-05-08T13:07:56.098867Z",3887525,2.036,5,"Вопрос решен","2025-05-08T13:07:56.098867Z","","","","",""
133,"2","ок ","2025-05-08T13:08:03.473677Z",3887606,6.043,1,"ни к одному из перечисленных","2025-05-08T13:08:03.473677Z","","","","",""
134,"2","Надолго ли(","2025-05-08T13:08:09.479176Z",3887614,8.94,2,"{""choices"":[""Вопрос решен"",""ни к одному из перечисленных""]}","2025-05-08T13:10:58.382997Z","","","","",""
135,"2","Надолго ли(","2025-05-08T13:08:14.852271Z",3887616,4.0280000000000005,2,"{""choices"":[""Вопрос решен"",""ни к одному из перечисленных""]}","2025-05-08T13:11:01.756976Z","","","","",""
136,"2","Спасибо. Все работает","2025-05-08T13:08:22.110761Z",3887743,3.549,5,"Вопрос решен","2025-05-08T13:08:22.110761Z","","","","",""
137,"2","Спасибо большое!","2025-05-08T13:08:25.632332Z",3887791,2.497,5,"Вопрос решен","2025-05-08T13:08:25.632332Z","","","","",""
138,"2","Спасибо!","2025-05-08T13:08:28.333346Z",3887832,1.655,5,"Вопрос решен","2025-05-08T13:08:28.333346Z","","","","",""
139,"2","заявка выполнена, спасибо.","2025-05-08T13:08:32.078736Z",3887844,1.83,5,"Вопрос решен","2025-05-08T13:08:32.078736Z","","","","",""
140,"2","Дверь закрывается намного лучше.","2025-05-08T13:08:37.091086Z",3887922,4.056,5,"Вопрос решен","2025-05-08T13:08:37.091086Z","","","","",""
141,"2","Спасибо за быстрое реагирование!!!","2025-05-08T13:08:45.372599Z",3888009,5.067,5,"{""choices"":[""Нравится скорость отработки заявок"",""Вопрос решен""]}","2025-05-08T13:08:45.372599Z","","","","",""
142,"2","Оперативно сработали, благодарю.","2025-05-08T13:08:49.540953Z",3888318,3.337,5,"{""choices"":[""Нравится скорость отработки заявок"",""Вопрос решен""]}","2025-05-08T13:08:49.540953Z","","","","",""
143,"2","спасибо большое","2025-05-08T13:08:52.282309Z",3888320,1.703,5,"Вопрос решен","2025-05-08T13:08:52.283313Z","","","","",""
144,"2","Спасибо сантехнику Алексею, все сделано качественно ","2025-05-08T13:09:06.974577Z",3888354,13.594,5,"{""choices"":[""Нравится качество выполнения заявки"",""Нравится качество работы сотрудников"",""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-08T13:09:06.974577Z","","","","",""
145,"2","Огромное человеческое спасибо за оперативность выполнения работы нашему дежурному сантехнику, прибывшему в воскресенье через 20 минут после написания заявки! Все решилось наилучшим образом! Вот так бы все вопросы оперативно решались!!!","2025-05-08T13:09:37.139042Z",3888539,27.659,5,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки"",""Нравится качество работы сотрудников"",""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-08T13:09:37.139042Z","","","","",""
146,"2","Очень оперативно и никуда не пришлось ходить.","2025-05-08T13:09:48.189575Z",3888591,7.194,5,"{""choices"":[""Нравится скорость отработки заявок"",""Вопрос решен""]}","2025-05-08T13:09:48.189575Z","","","","",""
147,"2","Проблема решена.","2025-05-08T13:09:52.594335Z",3888606,2.394,5,"Вопрос решен","2025-05-08T13:09:52.594335Z","","","","",""
148,"2","Очень оперативно отреагировали! Спасибо!","2025-05-08T13:09:57.057667Z",3888633,3.455,5,"{""choices"":[""Нравится скорость отработки заявок"",""Вопрос решен""]}","2025-05-08T13:09:57.057667Z","","","","",""
149,"2","оперативно, качественно, вопросов не возникло. Спасибо.","2025-05-08T13:10:06.139544Z",3888794,8.224,5,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки"",""Нравится качество работы сотрудников"",""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-08T13:10:06.139544Z","","","","",""
150,"2","Быстро!","2025-05-08T13:10:10.391526Z",3888811,2.794,5,"{""choices"":[""Нравится скорость отработки заявок"",""Вопрос решен""]}","2025-05-08T13:10:10.391526Z","","","","",""
151,"2","Благодарю за оперативность!","2025-05-08T13:10:15.830537Z",3888828,3.098,5,"{""choices"":[""Нравится скорость отработки заявок"",""Вопрос решен""]}","2025-05-08T13:10:15.830537Z","","","","",""
152,"2","спасибо за оперативное решение проблемы. ","2025-05-08T13:10:23.598781Z",3889213,4.522,5,"{""choices"":[""Нравится скорость отработки заявок"",""Вопрос решен""]}","2025-05-08T13:10:23.598781Z","","","","",""
153,"2","Оперативная работа","2025-05-08T13:10:26.659852Z",3889473,2.033,1,"{""choices"":[""Нравится скорость отработки заявок"",""Вопрос решен""]}","2025-05-08T13:10:26.659852Z","","","","",""
154,"2","оперативное решение проблемы! 
","2025-05-08T13:10:30.868050Z",3889502,3.131,5,"{""choices"":[""Нравится скорость отработки заявок"",""Вопрос решен""]}","2025-05-08T13:10:30.868050Z","","","","",""
